station,time,tavg,prcp,wspd,pres,tsun,name,latitude,longitude
84370,1974-04-01,27.9,,,,,Tumbes,-3.55,-80.4
84370,1974-05-01,26.8,,,,,Tumbes,-3.55,-80.4
84370,1974-06-01,24.6,,,,,Tumbes,-3.55,-80.4
84370,1974-07-01,23.0,,,,,Tumbes,-3.55,-80.4
84370,1974-08-01,22.3,,,,,Tumbes,-3.55,-80.4
84370,1974-09-01,22.2,,,,,Tumbes,-3.55,-80.4
84370,1974-10-01,23.9,11.0,,1010.9,,Tumbes,-3.55,-80.4
84370,1974-11-01,24.0,7.0,,1010.0,,Tumbes,-3.55,-80.4
84370,1975-02-01,26.4,63.0,,1010.1,,Tumbes,-3.55,-80.4
84370,1975-03-01,27.7,,,,,Tumbes,-3.55,-80.4
84370,1975-04-01,27.5,,,,,Tumbes,-3.55,-80.4
84370,1975-06-01,24.8,,,,,Tumbes,-3.55,-80.4
84370,1975-07-01,23.1,0.0,,,,Tumbes,-3.55,-80.4
84370,1975-08-01,22.3,,,,,Tumbes,-3.55,-80.4
84370,1975-09-01,22.9,,,,,Tumbes,-3.55,-80.4
84370,1975-10-01,23.2,,,,,Tumbes,-3.55,-80.4
84370,1975-11-01,23.5,,,,,Tumbes,-3.55,-80.4
84370,1975-12-01,24.7,,,,,Tumbes,-3.55,-80.4
84370,1976-01-01,26.2,,,,,Tumbes,-3.55,-80.4
84370,1976-02-01,26.9,,,,,Tumbes,-3.55,-80.4
84370,1976-03-01,27.5,,,,,Tumbes,-3.55,-80.4
84370,1976-04-01,27.4,57.0,,1008.8,,Tumbes,-3.55,-80.4
84370,1976-05-01,27.1,,,1012.6,,Tumbes,-3.55,-80.4
84370,1976-06-01,26.6,0.0,,1008.9,,Tumbes,-3.55,-80.4
84370,1976-07-01,25.8,0.0,,1009.5,,Tumbes,-3.55,-80.4
84370,1976-08-01,25.3,,,,,Tumbes,-3.55,-80.4
84370,1976-09-01,24.4,,,,,Tumbes,-3.55,-80.4
84370,1976-10-01,24.3,,,,,Tumbes,-3.55,-80.4
